city,term,tweet
New York,kale,#heygirl. Wish ryan_gosling made your #thanksgiving dinner? He massaged the #kale... @ brooklyn yogi… http://t.co/Xoq108AOXp
New York,kale,Grilled kale / country ham / slab bacon / dates / spiced pecans / fried shallots / miso vinaigrette @… http://t.co/zfoAXM3DSG
New York,kale,My chef of a sister made creamed kale and life has a new meaning
New York,kale,Thanksgiving appetizer buffet @fsnewyork from @fastchef.  Foiegras mousse. Kale salad.  Ceviche.… http://t.co/Afy335EkuF
New York,kale,Perfect for this rainy night: @andrecarmellini's black kale ravioli littleparknyc with @superdaniela @… http://t.co/zzaM5uKRQu
New York,kale,Kale &amp; mushroom stuffing--ready to go! http://t.co/fzEYb2Yfvg
New York,kale,"Favorite item to grab and go at Whole Foods: kale with mushrooms ... Ummmm, Yums. 

#vegan… http://t.co/243K9qgZAz"
New York,kale,#Thanksgiving #specials kale salad in a roasted acorn squash. @ Bleecker Kitchen &amp; Co. http://t.co/hyKYWvhwro
New York,kale,"""Does @Seamless have kale?"" -@loribaitarian"
New York,kale,Because the Lord knows I need a cleanse... #BluePrint #Juice #Cleanse #BPC #ColdPress #Kale #Apple… http://t.co/H16aiJycXp
New York,kale,"Parsley, kale, chives, and Swiss chard - give thanks @ Granite Street Community Garden http://t.co/taznhZCVzg"
New York,kale,#spinach and Russian #kale gratin with #gruyere #thanksgiving #foodporn #appetite #citylifeliveable @… http://t.co/SiA3xtHcxM
New York,kale,"oh kale yeah, i see you yoncé // my go-to #thanksgiving recipe up on the blog // #athleisurely @… http://t.co/9DcSE8cPLP"
New York,kale,There is still some parsley kale and chives left our list for Thanksgiving @ Granite Street Community… http://t.co/OOrY6wTtTu
New York,kale,"Making the trip in from California. ..sourdough, date and kale stuffing. Thanks @SamSifton http://t.co/6wzct9Rf3i"
New York,kale,Michael just called me kale by mistake and then apologized ..
New York,kale,#homemade #red #kale #chips from #boroughhall greenmarket ready for #kindergarten #Thanksgiving #feast http://t.co/9Lkam6pUvx
New York,kale,"Man shoulda taken a pic of my food porn but I was too hungry Just made rosemary lemon chicken with sweet potato, kale, asparagus &amp; zucchini"
New York,kale,"Daughter, 7: ""You smell like beer and kale and olive oil."" Yes, chef!"
New York,kale,The @masonmug devilled kale salad! #secretrestaurantrecipes #seasonal @ Mason &amp; Mug http://t.co/t79kAwCcRW
New York,kale,"it's hard to hear, but this tiny cafe filled with terrariums, organic kale salads, and macarons is playing doom metal #wburg"
New York,kale,Pop ups at 360i media #kale #kale nyc #kaleyeah #kaleinit #healthyeats #midtowneats #midtownlunch @… http://t.co/Yx1ncHPArS
New York,kale,In preparation for Thanksgiving dinner... ✅ Morning yoga ✅seafood salad lunch #kale #calamari… http://t.co/VWoXrwPJLT
New York,kale,"To make aforementioned sautéed kale side dish meal-worthy, I poached 2 #pastureraised vitalfarms eggs… http://t.co/5ngfsurK1T"
New York,kale,"Super easy, use-everything-left-in-the-fridge sautéed kale in olive oil + flavorgod Garlic Lovers'… http://t.co/InIgZVWzkl"
New York,kale,Kale power smoothie and beet juice 😋😋 @ Terri's Vegetarian~Organic http://t.co/DdnULBWOA2
New York,kale,Kale power smoothie and beet juice 😋 @ Terri's Vegetarian~Organic http://t.co/ED8UKEfwGw
New York,kale,"Grits: Gouda, bacon, kale! Brunch! (at @TheSteelCart in New York, NY) https://t.co/cB3oJc9Spy"
New York,kale,Nina made me steak for dinner! Wohoo! #monday #dinner #steak #kale #quinoa #more #mashpotatoes #please… http://t.co/Z83qUqk413
New York,kale,Union square stadium is making me gulp down a Large Kale smoothie Jesus take the wheel
New York,kale,Spice up your Monday with some spicy sausage and kale gnocchi! #gnocchi #monday #kale #patiodining… http://t.co/8TRV6oi5Ae
New York,kale,"Honey glazed fried chicken, sautéed kale, and the best friggin creamed corn! #yummy #foodporn 🐷 @… http://t.co/Qx2sFq5NQM"
New York,kale,and of course the trip would be incomplete without my favorite vegetable of all...kale!!! can i get a… http://t.co/oUDkAIDqdp
New York,kale,"After years of disparaging kale, I started eating it for vitamin content and...it's not awful! (This is how I felt about Twitter, at first.)"
New York,kale,"Kale Caesar to brighten up the day! (at @Sweetgreen in New York, NY) https://t.co/QfH0vQJFfc"
New York,kale,"Pasta for an autumn lunch: @sfoglini Zucca, Autumn Squash, Kale, Golden Raisins and Spiced Pumpkin… http://t.co/IHGuRyI8i6"
New York,kale,The easy way out of figuring out lunch ... Falafel salad with just kale @justsalad http://t.co/94ChL17dL4
New York,kale,"Henna on hand, tummy full of kale and body smelling like coconut oil- you can basically call me erica… http://t.co/CgQUSj81cB"
New York,kale,Snack time 😋 #kalechips #kombucha #kale #newyork #snacks @ Belaire Apartments http://t.co/E7m8NV6oBB
New York,kale,@ohhtheresPerry kale just told me that it hates u 2 soooooo http://t.co/WxkGW4sxON
New York,kale,"Sunday night dinner at home: kale, butternut squash &amp; sweet potato salad, brown rice with steamed… http://t.co/IyEyrlR2Cd"
New York,bacon,"Pork chop, brussels, mustard, potatoes, bacon - is there even one bad thing in that list. Nope. That's… http://t.co/ToYTYK17gU"
New York,bacon,@LiSWHYOUMAD like bacon egg and cheese croissants?
New York,bacon,@tarastrong I though to brought home the bacon!
New York,bacon,BaCon 2015: coming to a convention center near you
New York,bacon,"theeastpole heritage pork loin, market beans, apricot bacon glaze and roasted buttercup squash!!!… http://t.co/6LJBSIoC2G"
New York,bacon,All I wanna eat rn is steak bacon and honey mustard
New York,bacon,"bacon wrapped mushrooms, maybe the best skewer of the night at @izakayanomad. bacon &amp; mushrooms are… http://t.co/M3nwgAfhtp"
New York,bacon,Bacon lovers dream #barbacon @ BarBacon http://t.co/jHygLmz8kU
New York,bacon,Am I wired for not liking bacon on my cheese burgers
New York,bacon,The secret to happiness is learning how to eat what you want without getting fat.
New York,bacon,I just want a john moores bacon egg and cheese #fatty
New York,bacon,They had ock on the grill at my deli instead of my Dominican nigga. Felt bad making him prepare my bacon egg and cheese.
New York,bacon,#lunch date #EATgastropub two lil piggies #porkbelly#bacon#onionroll#IPA#beerporn#beer#food#foodie… http://t.co/ZfWkbK7J9j
New York,bacon,My face just says it all. 4 bacon cheeseburgers with and large fry. Now that's what I call a cheat… http://t.co/idBKDU36kG
New York,bacon,"that bacon egg &amp; cheese was so good😩
I should of got two"
New York,bacon,I've eaten 34 pieces of bacon before. With maple syrup and I was ok
New York,bacon,This place smells like my dreams. #bacon #homemade @essexstcheese  #cheese @essexstcheese https://t.co/V485aGlxWt
New York,bacon,"Who wants a bacon bowl? I bet it's delicious and useful to have, but my god that commercial is annoying."
New York,bacon,"Waffle Sandwich with bacon, egg and melted gruyere cheese, good morning start. @ Buvette http://t.co/1SGchSsD7L"
New York,bacon,@MattGiovatto Bacon Egg Cheese. BEC
New York,bacon,"Bacon cheddar burger, Russian dressing, house made pickles--Featured on our lunch prix fixe menu!… http://t.co/59H485VQMc"
New York,bacon,Neptune Diner for breakfast. 😌👌#eggs #bacon #homefries #coffee
New York,bacon,Bacon x Egg x Cheese http://t.co/CBPgxTCAxm
New York,bacon,"Wakey,Wakey &amp; bakey,bakey.Or did I mean eggs &amp; bakey.Nope I'm a vegetarian 21yrs.But bacon my fav vegetable after the home grown ""Greens""jk?"
New York,bacon,now all i want is starbucks and a bacon egg n cheese 😔 where is bae?
New York,bacon,"Turkey bacon with majdool dates

#vegetables #organic #organicfood #food #fresh #freshfoods #organic… http://t.co/esn0Z7QAe1"
New York,bacon,"""I would let you have half of it if you would eat it"" on a fried chicken parm bacon 4 cheese egg sandwich 😖 http://t.co/geQkJUim77"
New York,bacon,"@JeannaEckert  When pols say vote 4 me &amp; I'll bring the bacon back home it's not democracy, it's bribery - nothin but corruption."
New York,bacon,"Am I hallucinating this infomercial for a ""bacon bowl""?"
New York,bacon,"@KelseyMcCarson bacon. Just bacon? Merely bacon? Sorry bacon. No offense at ""merely"". Ok, will see if BWAA will spring for a rasher"
New York,bacon,"Bacon , sunny side up egg with cheese and lettuce 😍😍😍 I made and destroyed in 2 mins http://t.co/njUxnb4q2E"
New York,bacon,"Thankful for another birthday! Had a great day eating bacon and coffee, running with Shaniyah while my… http://t.co/oWuwpr3s55"
New York,bacon,"""@iamKingAshlee: 13. Sausage or Bacon?"" Bacon ."
New York,bacon,Aboutta munch of this bacon egg and cheese
New York,bacon,4 double bacon cheeseburgers and fries just went down 😍🍔🍟#fiveguys
New York,bacon,"Pizza Party! Nothing like a slice of NYC pizza! Chicken teriyaki, chicken and bacon, and sausage and… http://t.co/UXQ8hkHDbE"
New York,bacon,Offfffffff 💋❤️💸💸💸 @ Earned The Bacon Cuh.!!! http://t.co/iNPr323xni
New York,bacon,Grilled Cheese Bacon Dumplings in Tomato Soup #nyc @ Beauty &amp; Essex http://t.co/zMuHkHoWxa
New York,bacon,Just warms the heart! Cheddar Bacon biscuits and foie gras waffles #RockEats #RainbowRoom #seriousfood http://t.co/3pPtzp6F2P
New York,bacon,Because I haven't had enough indulgences this weekend; in having a bacon Bloody Mary to celebrate my fabulous... https://t.co/9sLgXrFKLk
New York,bacon,I want to re eat that bacon egg and cheese hero
New York,bacon,"Try our new beautifully created special- Braised short rib with creamed kale, bacon, shiitake! #whatsfordinner #gfree http://t.co/RzBR3bMuN5"
New York,bacon,Keyshia Cole makes music for people that reuse cold bacon grease as body butter
New York,bacon,Epic #breakfast #sandwich with #bacon @ Brooklyn Commune http://t.co/IYJb7x216Q
New York,bacon,Petey is delivering me a egg everything bagel toasted with chocolate chip cream cheese &amp; crispy bacon and a light blue Gatorade 👼 #blessed
New York,bacon,"happy sunday, I put bacon in pancakes http://t.co/THpqy31rHx"
New York,bacon,All it needs now is icecream. #banana #stickybuns with #bacon #peanutbutter glaze. The new Chapman… http://t.co/vxjIcx92tB
New York,bacon,Anyone heard about a fish eating bacon? #concretejungle #fishing #lol @ Rainey Park http://t.co/EQjDDbN6mJ
New York,bacon,I want some turkey bacon
New York,bacon,I fed my dog bacon-flavored potato chips and im pretty sure I'm his favorite now
New York,bacon,"Dad's Christmas list = bacon, drill bits, jump rope and coral??"
New York,bacon,The smell of turkey bacon is kinda sickening #wherestherealbacon
New York,bacon,French toast bacon cheese eggs
New York,bacon,I miss having a wake and bake in chinos crib then going to kitchen door to buy a bacon egg and cheese and pulling up to class high af
New York,bacon,The fact that I can eat a whole pack of bacon by myself is sad. Bacon makes me happy though 😍
New York,bacon,"Just seen an advert for a 'Bacon Bowl'. Mind = blown. Seriously, Google it."
New York,bacon,💅“@ImJustCeej: Nope &amp; nope. RT @KMJeezy: If you like bacon you like scrapple. If you debate me then you've never had scrapple”
New York,bacon,If you like bacon you like scrapple. If you debate me then you've never had scrapple
New York,bacon,My mind says egg whites but my heart says cheese eggs &amp; bacon.
New York,bacon,My dad blew up my phone just to tell me he's bringing me a bacon egg &amp; cheese 😐
New York,bacon,BACON
New York,bacon,This morning I woke up extra early just cause my mom made bacon. I have problems
New York,bacon,forever craving bacon egg and cheese
New York,bacon,@Matt_Dominguez time to #stretchoutpigs.  Thankful #CC caved.  A fan of bacon perhaps.
New York,bacon,@TheReal_AP84 he doesn't really say bacon soda hunny
New York,bacon,“@RakwonOGOD: BACON SODA I GOT BACON SODA http://t.co/XmeOtzHLJk” @TheReal_AP84 LMFAO.
New York,bacon,Oh yeah! It was a very bacon filled thanksgiving 😍 http://t.co/2x7rULpTUb
New York,bacon,"Taylor ham,bacon, and breakfast potatoes 😋"
New York,bacon,"WAFFLE, EGGS &amp; TURKEY BACON SANDWICH 😋😋😋 #foodporn #snackgasm #FOODART 😋😋😋 http://t.co/c5XyzDXXXP"
New York,bacon,"Run and get the Gramercy tavern burger. Made with wagyu beef, topped with wagyu bacon. tracymalechek… http://t.co/RzWPgtSQqg"
New York,bacon,Pleaseeeeeeee 😂😂😂 killa_92_cam @ Earning The Bacon Cuh.!!! http://t.co/FeEWkT6BA4
New York,bacon,👓💋❤️💸💸💸 @ Earning The Bacon Cuh.!!! http://t.co/JvdJjAxdyt
New York,bacon,Bar Bacon😍😍 a must
New York,bacon,Beer + Bacon = Heaven. @ BarBacon http://t.co/tlW2SrjMJM
New York,bacon,CRUZ wants this to be his Presidential code name used by the Secret Service RT @bigmetsfan1: Burrito with bacon
New York,bacon,I just had a baked potato with bacon and cheese 😍😍😍😍
New York,bacon,Bacon Egg Cheese thebruffin. #bruffin #briochemuffin #nice #foodiemagician #snackin @gansmarket @ The… http://t.co/Rl296cBlxB
New York,bacon,maple bacon macaroon i fux wid u @ Union Square http://t.co/kJmhr7NWol
New York,bacon,French toast bagel wt birthday cake cream cheese &amp; bacon #tompkinssquarebagels @ Tompkins Square Bagels http://t.co/Ct5eH2fTYL
New York,bacon,“@ProfoundMoron: I Need Some Cheesy Eggs &amp; Turkey Bacon In My Life RN 😩”🙌🙏👍😩
New York,bacon,Bacon egg and cheese on a bagel 😉
New York,bacon,Best bagels in the world!!! Egg bagel with bacon scallion cream cheese and some extra cream cheese to go! https://t.co/aeWMncp5R0
New York,bacon,Thank you @BuzzFeed for the #KentuckyHotBrown recipe. Perfect for #Turkeyleftovers egg instead of #bacon #breakfast http://t.co/YQPii3DdzU
New York,bacon,Mom made bacon and eggs😍😛
New York,bacon,I smell bacon. #nomnomnom
New York,bacon,I am currently eating bacon and nothing else for breakfast. Not even toast. Just bacon.
New York,bacon,"Pete just came into my room with a plate of bacon and was like ""enjoy ur stupid waffles this is a real breakfast"" smfh"
New York,bacon,Thank God for my Bacon Egg &amp; Cheese @ Leo's Brand Bagels http://t.co/NfURJsm2wl
New York,bacon,The smell of bacon and ham at Dunkin is making me feel so sick😷😭
New York,bacon,I just got a bacon egg and cheese on a hero. Life is complete.
New York,bacon,"It's too cold to get out of bed! Order your breakfast from grubhub or seamless. Eggs, bacon, bagels, milk whatever you want! #inwood #10034"
New York,bacon,That bacon egg &amp; cheese was life 🙌😋
New York,bacon,$7.25 for a bacon egg and cheese? Better be made of gold
New York,bacon,"Nothing better than a veggie burger with bacon and cheese at 3 in the morn (@ Boilermaker in New York, NY) https://t.co/FSqmVmJwN4"
New York,bacon,Chef David Burke's candied bacon black pepper maple glaze 😍 @ David Burke fabrick http://t.co/z2Gbnn0zcG
New York,tofu,"I'm at BCD Tofu House in Bayside, NY https://t.co/2U7s6lWXaH"
New York,tofu,"Pork belly bao, tofu bao @ BAOHAUS RESTAURANT NYC http://t.co/D4mqJwLA6D"
New York,tofu,@pseudomonas @RobotGirlfriend I'm holding out for a tofu one.
New York,tofu,@thelukerodgers @ChicoTBar I need the ginger tofu and a kiss...from you
New York,tofu,Finally back for some Japanese bar food! #takoyaki #agedashi #tofu #japanese #nyc #seafood #pancake… http://t.co/oLoFnstAz9
New York,tofu,Late night #Koreanfood after our #karaoke session in #Koreatown. #soasian #sohungry #sogood @ BCD Tofu… http://t.co/N3ENtdoIip
New York,tofu,"I'm at Natural Tofu in Sunnyside, NY https://t.co/kWD4Xf24X0 http://t.co/pV5EJhkbuv"
New York,tofu,Tofu House🍲🍚 #beef #tofu #foodporn @ So Gong Dong http://t.co/c0N4IiLGpg
New York,tofu,"Three old souls dining in the best way we know how | Chanterelle Crusted Tofu: celeriac purée, sautéed… http://t.co/5ST6xKUUzo"
New York,tofu,"I'm at BCD Tofu House in Bayside, NY https://t.co/DjYrlZ3eoC"
New York,tofu,Just had the best garlic bagel and scallion and tofu cream cheese here at #PickABagel #yum #nyc @ Pick… http://t.co/umlKVDJyUh
New York,tofu,"Spicy, stewed #tofu, minced #pork and crunchy noodles ippudony. Hit the #Japanese spot. #nyc #🍲… http://t.co/4MCBUkOY56"
New York,tofu,Post-Thanksgiving chillin with some Cajun Tofu &amp; Dirty Quinoa from @AYINDE 's Lusty #Vegan: http://t.co/78jChv4QnH
New York,tofu,Mini Thanksgiving feast before the real thing！#korean #tofu #bibimbap #cornishhen #banchan #nyc… http://t.co/C1jOijfYM5
New York,tofu,"Today is Thanksgiving in the US... Happy turkey day to our meat-eating friends, and happy tofu-key day… http://t.co/6bQDWRyykD"
New York,tofu,Going #vegetarian this #HappyThanksgiving @MVZaGoGo 💖✨! Veggie tofu sausage cornbread dressing! ##weShallSee http://t.co/QC74nmxKvG
New York,tofu,Whole wheat bagels with tofu scallion cream cheese in bed while I work on case studies:):) Happy… http://t.co/MiPssj3Psc
New York,tofu,"Jesus didn't pay for tofu turkey. Receipt: ""ALL. $ - .01 Tofu Turkey"""
New York,tofu,#Hijiki + #tofu salad: non-turkey victuals prep! #nofilter virtuous #foodporn @ Iroha &amp; Hagi http://t.co/xbhnsfOlys
New York,tofu,"I wouldn't trust this #turkey. #nope #tofu #thanksgiving @ Upper West Side, NYC (UWS) http://t.co/Odo9h1zcR0"
New York,tofu,korean fix with one of my fave koreans! #nyceats #nycfat @ BCD Tofu House http://t.co/wHzzHyVAc2
New York,tofu,I know I'll have reached my ultimate zen consciousness the day I manage to properly fry tofu 😒
New York,tofu,Beautiful #koreanfood #whatsfordinner @ BCD Tofu House http://t.co/q1EkvezH0c
New York,tofu,Something very surreal about jouji nakata rt'ing pictures of mapo tofu with little emojis
New York,tofu,I'm eating tofu right now and it's actually bomb af
New York,tofu,Watercress salad with fresh homemade tofu dressing. Amazing! #tofu #vegan #salad #food #foodlover… http://t.co/V1lwVVSb9I
New York,tofu,Gotta eat healthy before gorging myself on thanksgiving. #quinoa #tofu #greens @ Casa Le Pek http://t.co/XTs6Qhpxl8
New York,tofu,My snapchats woke tofu up :/
New York,chicken and waffles,i want chicken and waffles 😌 hmmm
New York,chicken and waffles,"Fish And Grits
Or 
Waffles And Fried Chicken Would Be Life Rn."
New York,chicken and waffles,Chicken and waffles http://t.co/XlkNfhxYBb
New York,chicken and waffles,Chicken and waffles with Foie Gras Compound Butter. #brunch #brownstownmusic @ Union Republic http://t.co/vwP73XRD9M
New York,chicken and waffles,@lodazzo that chicken and waffles bikini gonna be hella cheap just a heads up 😏😏😏😏
New York,chicken and waffles,Came all the way to Harlem for chicken and waffles
New York,chicken and waffles,When chicken met waffles... http://t.co/2lxtb3Vg2i via @PureWow / #thanksgivingideas
New York,chicken and waffles,#latergram that time me_and_you_and_rubylou met the president and had chicken and waffles. #missyou @… http://t.co/Gnal99v5s7
New York,chicken and waffles,"Oh. My. #chicken and #waffles with some #macncheese 😝😍👌 @ Sylvia's Restaurant, the Queen of Soulfood http://t.co/3VRLBpwxBy"
New York,chicken and waffles,"Alexa sees chicken and waffles and goes ""wow that looks incredible"""
New York,chicken and waffles,"Chicken and waffles kind of rainy day in #nyc. 
Photo credit: @bakedbyhaley

#NYCFAT #turkeyFAT @… http://t.co/RjoK2wnWvj"
New York,chicken and waffles,Chicken and waffles don't even go together 😐 .. That shit fucking plain tasting af !
New York,tacos,What's up @OGKcutYou ?? Come split my tacos 😛
New York,tacos,I love tacos so much.
New York,tacos,Bought supplies to make tacos for dinner tonight but Rog has swim practice til 9 THE TACO ANTICIPATION IS KILLING ME
New York,tacos,Case of the Mondays. #margarita #monday #tacos #everyday #VSCOcam @ Cerveceria Havemeyer http://t.co/fQRjs81C0R
New York,tacos,#monday #taco #tacos #thedopeness #tonight @ The Dopeness http://t.co/UqoXK2c0JZ
New York,tacos,Feeling so incredibly sick but still want tacos. V typical
New York,tacos,@MaritzaHemmo @ArianaGrande @AlexaLuria extremely accurate come back even tho u just left my house ok thank u (don't come back w/o tacos)💓💓
New York,tacos,“@Sassy_Drunk: Touch my butt and buy me tacos.” @Rocket_Bruno
New York,tacos,Finally got my tacos
New York,tacos,"Checking to see of the tacos are as good as dad says they are. (at @TacosElBronco Restaurant in Brooklyn, NY) https://t.co/bCR96xZG18"
New York,tacos,@LindaChang tequila &amp; tacos what could be better👌 http://t.co/zWD2v5w8SR
New York,tacos,Happy Monday! @MexicoBlvd @dumbolot #DecemberWish #tacos Water&amp;Jay
New York,tacos,Because it's right next to the hotel (@ Rocco's Tacos and Tequila Bar Brooklyn) https://t.co/lCjB4jVr9z http://t.co/xftGxSZD6o
New York,tacos,I wanna fast forward to tacos 💃💃
New York,tacos,"Nom nom   Here we are again. (@ Rocco's Tacos and Tequila Bar Brooklyn in Brooklyn, NY) https://t.co/Irff2H2ixb"
New York,tacos,Tacos will be served at my wedding
New York,tacos,Never not in the mood for tacos
New York,tacos,Tacos  - my favorite is oreja its the only one I order - look it up #tacos  #tacotrucks #tacocarts… http://t.co/c9Nx4jVFJ7
New York,tacos,Fish tacos... Closing out our Sunday Brunch with this favorite! #sundaybrunch #fishtacos #weehawken… http://t.co/ynwOkMOQfz
New York,tacos,"Cubano, fish tacos, and guacamole. Winning. (at @CoppeliaNyc in New York, NY w/ @wafusco) https://t.co/JmChYMdR83"
New York,tacos,Making tacos in an old VW van...why not...#100happydays #nycfun @ Tacombi NYC http://t.co/Ir3GHoCrc4
New York,tacos,Tacos feed me 👌👌
New York,tacos,Mexican Food Today At Work Though I'm More In The Mood For Dominican Food I'll Definitely Settle For Tacos And Hot Sauce 😍 😍 😍
New York,tacos,Want some tacos from airline !
New York,tacos,"Chicken Tacos are the best!! (@ Girasol Bakery in Brooklyn, NY) https://t.co/r4kaI04fva http://t.co/g1msHHF54c"
New York,tacos,@AtomicMari saw this and thought of you!!!!! https://t.co/lrShsarxr4 tacos!!!!
New York,tacos,"I'm at Rocco's Tacos and Tequila Bar Brooklyn in Brooklyn, NY https://t.co/Lx9j1YMQXf"
New York,tacos,"Quick taco run! (@ Otto's Tacos in New York, NY) https://t.co/qd4rqDuMtd"
New York,tacos,Only thing better than tacos is free tacos!!!!
New York,tacos,#sashimi #tacos #guyfieri @ Guy's American Kitchen &amp; Bar http://t.co/iZiRNbId9I
New York,tacos,#sangriasaturday louisa1027 edvige_c @roccostacos 🍹 @ Rocco's Tacos and Tequila Bar Brooklyn http://t.co/VJQdPtEdXI
New York,tacos,First foray into fish tacos was a success! #fishtacos #noms #NYC
New York,tacos,Still drooling over the thought of @TacubaNYC's #pulpo and #chorizo #tacos! http://t.co/sy5CJKcFuI
New York,tacos,"""Bumping tacos"""
New York,tacos,"Tacos, burgers, American beer and cheesecake. Good times🇺🇸😊"
New York,tacos,"Soooooo Pachanga Patterson went from serving 3 tacos/order to 2, and Bare Burger got rid of their Caesar salad. Color me disappointed..."
New York,tacos,"If these tacos aren't done within the next hour, my fat ass is running to Taco Bell"
New York,tacos,Dos Toros tacos @ Hudson Eats at Brookfield Place http://t.co/q7euuzYj84
New York,tacos,“@EatMy_Tacos: #GirlsFavoriteLine ; Im Not Even Crazy 😂😈” lmaoo so guilty.
New York,tacos,A pizzeria selling tacos... You're doing it wrong
New York,tacos,wake up / put lipstick on / eat homemade tacos
New York,tacos,Enjoying tacos in my first hotel room http://t.co/JOErnI3sBD
New York,tacos,Tacos are a nice touch too http://t.co/oEZMF8zsQk
New York,tacos,“@RicGotChaChick: I need like 15 tacos” bring me like 3 with a lemonade
New York,tacos,@12thLady @abnerha @mxcchi @jordibeard @Empellon Tacos will never be the same
New York,tacos,@MyQuirkyBHavior Lol your skin too light to sit at our table... But I can get you the leftover tacos
New York,tacos,@FutbolIntellect Confession: @12thLady just introduced me to kale tacos
New York,tacos,#tacos #homemade #specialdinner #givethanks @ Alto Manhattan http://t.co/6NFVg5aFEt
New York,tacos,You had it right the first time lol “@lelem94: @G718__ lmfao whatever! Turkey is better than dry ass tacos.😂”
New York,tacos,@lelem94 thanksgiving what you doing eating tacos? Lol what happen to turkey lol
New York,tacos,"b/w challenge 2:5, The holy grail.

Next up: @happicamp (because you're too pro) @ Los Tacos No.1 http://t.co/y3x5ZFfxBg"
New York,tacos,Currently eating a turkey sandwich but thinking about how I could have made turkey tacos instead. This is my life. One big regret.
New York,tacos,Tacos so mf'n good I'll slap my grandma. 👵 @ La Esquina http://t.co/QzdUmVte1X
New York,tacos,Just like TacoDeli makes... Egg and mashed potato breakfast tacos http://t.co/6dB083NDMN
New York,tacos,Thinking about making mashed potato breakfast tacos
New York,tacos,I just wanna go back for the tacos
New York,tacos,@SmarttAlec I want to answer you but I strictly tweet about @tacobell srry bye I love tacos
New York,tacos,"turkey👏
tacos👏
tomorrow👏"
New York,tacos,"I didn't eat in home tonight 😨 My family left me alone so welcome cereal, tacos, and movies night 🍴🎭❤✨"
New York,tacos,"Turkey tacos? (at @RosaMexicano in New York, NY) https://t.co/CL6VGBiFgq"
New York,tacos,"“@BuzzFeed: PST: Pumpkin Spice Tacos
http://t.co/dYX1qXpX0i http://t.co/sC5HiWRjey” NOPE"
